indi_pt,count
Cystic fibrosis lung,3846
Herpes simplex,3840
Retinoblastoma,3836
Heart rate increased,3833
Pharyngitis,3818
Intervertebral disc degeneration,3816
Blood disorder,3814
Pneumonitis,3795
Oral candidiasis,3767
Coronary arterial stent insertion,3752
Staphylococcal bacteraemia,3747
Skin infection,3740
Abdominal distension,3728
Spondyloarthropathy,3724
Dystonia,3714
Sickle cell anaemia,3708
Back disorder,3684
Vulvovaginal mycotic infection,3668
Herpes virus infection,3658
Hypoglycaemia,3655
Hypogonadism,3652
Petit mal epilepsy,3636
Chronic sinusitis,3601
Tonsillitis,3591
Sneezing,3584
Lung infection,3581
"Hallucination, auditory",3577
Iridocyclitis,3569
Pericarditis,3562
Lymphodepletion,3535
Memory impairment,3497
Selective IgG subclass deficiency,3489
Osteitis,3485
Preoperative care,3475
Klebsiella infection,3465
Mood altered,3456
Open angle glaucoma,3443
Ventricular fibrillation,3441
Glomerulonephritis membranous,3409
Haemorrhage prophylaxis,3409
Haematopoietic stem cell mobilisation,3389
Psychotic symptom,3384
Atypical mycobacterial infection,3365
Personality disorder,3363
Knee arthroplasty,3358
Percutaneous coronary intervention,3351
Bronchospasm,3344
Urinary retention,3343
Mucosal inflammation,3336
Affect lability,3324
Temporal arteritis,3319
Plasmacytoma,3318
Migraine without aura,3307
Abortion induced,3298
Cataract operation,3293
Depressive symptom,3291
Micturition urgency,3291
Pneumonia bacterial,3290
Anaesthesia procedure,3266
Skin ulcer,3263
Graft versus host disease in gastrointestinal tract,3242
Arteriosclerosis coronary artery,3241
Pneumonia aspiration,3236
Atrophic vulvovaginitis,3234
Suspected suicide,3228
Acquired haemophilia,3216
Dermatitis contact,3216
Ocular hyperaemia,3211
Dehydration,3210
Influenza like illness,3194
Impaired gastric emptying,3191
Myositis,3191
Blood uric acid increased,3168
Rash papular,3164
General physical condition,3131
Assisted reproductive technology,3114
Dementia with Lewy bodies,3110
Respiratory failure,3108
Secretion discharge,3104
Wound,3101
Tourette's disorder,3087
Basedow's disease,3071
Cardiogenic shock,3056
Musculoskeletal stiffness,3052
Cluster headache,3031
Proteinuria,3024
Mucopolysaccharidosis VI,3023
Gastrointestinal haemorrhage,3022
Pleural effusion,3010
Intellectual disability,3010
Conjunctivitis,3006
Insulin-requiring type 2 diabetes mellitus,3002
Pyelonephritis,2993
Lipodystrophy acquired,2981
Focal segmental glomerulosclerosis,2980
Viral infection,2970
Pituitary-dependent Cushing's syndrome,2965
Cerebral palsy,2960
Sinus congestion,2951
Sickle cell anaemia with crisis,2950
Kawasaki's disease,2950
Anxiolytic therapy,2947
Monoclonal gammopathy,2947
Acute kidney injury,2939
EGFR gene mutation,2935
Guillain-Barre syndrome,2910
Takayasu's arteritis,2907
Heart disease congenital,2904
Idiopathic generalised epilepsy,2873
Malabsorption,2871
Nerve block,2859
Meningitis,2858
Temporal lobe epilepsy,2853
Torticollis,2852
Procoagulant therapy,2851
Psychomotor hyperactivity,2851
Radioactive iodine therapy,2848
Respiratory tract congestion,2823
Ischaemic cardiomyopathy,2817
Malnutrition,2815
Prostatic specific antigen,2812
Catatonia,2803
Disease progression,2795
Clostridium difficile colitis,2782
Anger,2778
Magnetic resonance imaging,2776
Diabetes mellitus management,2775
Mucormycosis,2774
Autologous haematopoietic stem cell transplant,2767
Philadelphia chromosome positive,2732
Menstrual cycle management,2719
Gastrooesophageal reflux prophylaxis,2709
Haemochromatosis,2704
Escherichia infection,2700
Bursitis,2687
Hysterectomy,2682
Labour induction,2675
Nervousness,2669
Synovitis,2666
Folate deficiency,2664
Castleman's disease,2663
Gastroenteritis,2663
Analgesic intervention supportive therapy,2663
Familial mediterranean fever,2654
Irritability,2653
Tooth infection,2651
Nocardiosis,2637
5q minus syndrome,2635
Clinically isolated syndrome,2634
Endophthalmitis,2629
Chest discomfort,2615
Abnormal faeces,2612
Arthritis bacterial,2608
Infantile haemangioma,2606
Dysphagia,2606
Ovulation induction,2602
Colitis microscopic,2600
Unevaluable event,2596
Meningitis tuberculous,2586
Arthritis infective,2584
Hyperhidrosis,2579
Mast cell activation syndrome,2573
Peripheral vascular disorder,2561
Prinzmetal angina,2560
Lacrimation increased,2544
Joint swelling,2542
Renal impairment,2539
Child abuse,2535
Burning sensation,2531
Weight loss diet,2528
Myoclonus,2525
Symptomatic treatment,2525
Tooth abscess,2522
HIV test positive,2519
Lyme disease,2518
Hepatitis,2517
Venoocclusive disease,2514
Acute respiratory distress syndrome,2512
Electrolyte substitution therapy,2506
Von Willebrand's disease,2505
Extrapyramidal disorder,2496
Bowel movement irregularity,2489
Menstruation irregular,2486
Lymphadenopathy,2482
Latent tuberculosis,2476
Circadian rhythm sleep disorder,2467
Epstein-Barr virus infection,2466
Infusion related reaction,2466
Paranoia,2458
Dental local anaesthesia,2456
Abscess,2448
Skin discolouration,2447
Therapeutic skin care topical,2445
Endotracheal intubation,2445
Overweight,2441
Raynaud's phenomenon,2438
Scan myocardial perfusion,2423
Gastrinoma,2412
Leukopenia,2411
Complex partial seizures,2409
Antisynthetase syndrome,2404
Bone density abnormal,2400
Myoclonic epilepsy,2399
